bench_name,bp_method,BP_ACCURACY,MPKI,NOT_BRANCH,BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
bwaves_s-3699B,my_PAg_AHRT,92.4218%,10.9804,85.5074%,1.05336%,0.08451%,13.1344%,0.10861%,0%,0.1086%
gcc_s-734B,my_PAg_AHRT,99.6742%,0.7717,76.3101%,2.47904%,0%,18.6877%,1.26151%,0%,1.26152%
perlbench_s-210B,my_PAg_AHRT,98.09%,3.1346,83.5873%,2.00077%,0.64447%,11.9609%,0.83312%,0.06936%,0.90248%
fotonik3d_s-1176B,my_PAg_AHRT,99.9749%,0.0044,98.2435%,0.00044%,0%,1.7548%,0.00044%,0%,0.00044%
wrf_s-575B,my_PAg_AHRT,98.872%,1.5202,86.5227%,0.96403%,0%,10.1964%,1.15837%,0%,1.15837%
xz_s-3167B,my_PAg_AHRT,92.5627%,11.2343,84.8913%,0.68142%,0.09689%,14.1945%,0.04246%,0.02381%,0.06628%
x264_s-18B,my_PAg_AHRT,99.4413%,0.2374,95.7473%,0.08638%,0.00551%,3.59265%,0.13956%,0.14288%,0.28244%
xalancbmk_s-700B,my_PAg_AHRT,92.4085%,22.0563,70.9427%,0.67259%,0.27496%,24.7809%,1.07802%,0.58467%,1.6627%
cactuBSSN_s-2421B,my_PAg_AHRT,99.2893%,0.0647,99.0874%,0.11095%,0.01823%,0.5618%,0.10969%,0%,0.10969%
pop2_s-17B,my_PAg_AHRT,96.628%,3.8681,88.5284%,0.21736%,0.00632%,10.4505%,0.3986%,0%,0.3986%
deepsjeng_s-928B,my_PAg_AHRT,85.7908%,21.2896,85.0146%,0.91683%,0.0916%,10.0748%,1.94994%,0%,1.94987%
lbm_s-4268B,my_PAg_AHRT,96.6657%,0.5928,98.2215%,0.28476%,0%,1.4931%,0%,0%,0%
leela_s-800B,my_PAg_AHRT,87.0167%,21.2179,83.654%,0.5401%,0.0006%,9.91209%,2.94486%,0%,2.94486%
roms_s-842B,my_PAg_AHRT,99.0324%,1.6364,83.0854%,1.66855%,0.06788%,13.9067%,0.63426%,0%,0.63425%
exchange2_s-1699B,my_PAg_AHRT,95.9334%,5.4994,86.4733%,0.97579%,0%,12.5308%,0.0084%,0%,0.0084%
nab_s-5853B,my_PAg_AHRT,99.8843%,0.112,90.3156%,0.83051%,8,6.64388%,1.10491%,0%,1.10489%
cam4_s-573B,my_PAg_AHRT,98.7387%,1.865,85.2156%,0.41427%,5,13.1072%,0.63225%,0%,0.63218%
omnetpp_s-874B,my_PAg_AHRT,95.4444%,9.4558,79.2408%,1.12889%,0.33554%,13.36%,1.77453%,1.19145%,2.96598%
imagick_s-10316B,my_PAg_AHRT,99.3892%,0.6322,89.6469%,0.00056%,0%,10.3496%,0%,0%,0%
mcf_s-665B,my_PAg_AHRT,88.0654%,29.8169,75.0128%,2.63746%,0%,16.998%,2.52572%,0.14836%,2.67404%
